App,ID,Author,Date,Rating,Helpful Count,Review,,,,
,104,radi _ rig,20-Aug-20,3,14," when it comes compared to the browser edit!,as I suggest wordpress team to bring all facilities and features as such in browser edit as the version in browser seems higher when compared with the app...It is that when you cant add files in the app and some embedding doesnt support and the jetpack blo...Full Reviewwhen it comes compared to the browser edit!,as I suggest wordpress team to bring all facilities and features as such in browser edit as the version in browser seems higher when compared with the app...It is that when you cant add files in the app and some embedding doesnt support and the jetpack block is enabled in the browser version and that block is not supported in the app.....Few latest updates satisfy me comparing the last one's...so you guys are improving each step😍 and keep goin",,,,
,105,Sandra Cobb,8-Sep-20,5,1," Love it. So easy to write my blog posts using my phone and this app. I've had no snags, no lags, no complaints. It's also easy to switch between blogs which is great for those of us who have multiple blogs. Great app!",,,,
,106,Lakshmi kanth P,14-Sep-20,5,0, A very good platform for one to explore what skills they have,,,,
,107,ShadrArt Soul.,20-Sep-20,4,0," Being a writer, my experience with it has been awesome in the past six months or so since I obtained my website.",,,,
,108,Spaznadz del pacifico,22-Aug-20,2,8, I'm done. Uploading images has gotten progressively worse and now I can't upload at all. All image uploads fail. The mobile app was great for quick posts and updates but like the web version it seems to have prioritized features and UI over functionality and stability. I'll try again in a year.,,,,
,109,Dustin Cupples,24-Aug-20,2,8," There are so many options to edit and customize your site. And you can put in hours of work to do so. Then when you save and the changes don't take effect. So, you give it a few days and decide to do it again. Problem repeats. Then somewhere along the way all the changes slowly start to come into pl...Full ReviewThere are so many options to edit and customize your site. And you can put in hours of work to do so. Then when you save and the changes don't take effect. So, you give it a few days and decide to do it again. Problem repeats. Then somewhere along the way all the changes slowly start to come into play and then your page is a wreck. Several people told me not to use wordpress for similar reasons. I hate the time I wasted on this website.",,,,
,110,anconia francisco,22-Jul-20,1,6, I am not able to add any images. It keeps loading and then it refuses to publish the blog even if the images are deleted. Not able to add images in media library too. So frustrating. Disappointed. :( I wish I could give zero star!,,,,
,111,Jade Chirchirillo,25-Sep-20,5,0, Love the Freedom to Write and have a copy my kids can see online. Feels very permanent and good to review my own work and literature to see what I'm better at. And if I need to learn something new cuz it's holding me back. Great way to do all those things on this site! Thanks you guys!!!,,,,
,112,Rebecca Sekere Adetunji,20-Aug-20,4,2, It has really been fun using WordPress because it gives me the opportunity to put down my thought on the go without an iota of delay. On like before that any inspiration I have outside my home will be forgotten soonest because no where to put them immediately. I must say kudos to you guys.,,,,
,113,Dandy Jackson,25-Jul-20,2,1," Alright. Askimet was pretty much blocking my visitors from subscribing to the blog, so I tried to delete the plugin with the app but it didn't work.. I tried Jetpack and found out that everything’s stucked — I can’t even do a thing. So I'm re-downloading this app once more if it get’s on my neck, I’...Full ReviewAlright. Askimet was pretty much blocking my visitors from subscribing to the blog, so I tried to delete the plugin with the app but it didn't work.. I tried Jetpack and found out that everything’s stucked — I can’t even do a thing. So I'm re-downloading this app once more if it get’s on my neck, I’m definitely giving it a ",,,,
,114,Marcos Land,28-Sep-20,5,0, This Wordpress app is very helpful. Got to do basically all the management of my site from my phone,,,,
,115,Kresia Ma. Cecilia Julio,19-Jul-20,5,2," Works best for me. I love that I can do the usual task but there are times that I get clumsy and mess up the post in progress, I wish there's a ctrl-z to revert. It's still a 5 tho. My workaround is to login at the web to check.",,,,
,116,MorTheGrim,18-Jul-20,1,33, Website says there is an option to add self-hosted WP site. There isn't. The app also refuses to let me login. Falsely says username and password are wrong. Won't even let me access settings. Contacted help. No response. Not even estimated wait time. Refuses to function at every turn.,,,,
,117,Michael Thomas,14-Sep-20,5,0," As an amatuer writer it gives me a place to write, edit, and post my stories so that people from all over the world can read and comment on my work before I decide which stories to put in or leave out of my upcoming book of short stories.",,,,
,118,Dianna Sakisheway,26-Jul-20,5,5, I am so happy to try an alternative to some other apps which I won't mention here. I think we cannot have too many outlets for self-expression during this time of physical distancing. 🤩 WordPress is bringing me more community. Thank you WordPres,,,,
,119,Owel James Cenidoza,29-Jul-20,3,8," Can we have word search function? What I mean is when editing, making a post no word search so I have to search for it manually. Secondly don't know why but editing is sometimes so slow that using chrome browser is actually faster than the app especially doing copy paste. Doing copy paste in the bro...Full ReviewCan we have word search function? What I mean is when editing, making a post no word search so I have to search for it manually. Secondly don't know why but editing is sometimes so slow that using chrome browser is actually faster than the app especially doing copy paste. Doing copy paste in the browser only takes a few sec while on the app takes minutes and I have to smash the paste buttons like no tommorow. Great reach the characters limit of review Huawei P9 I can even make a freaking video",,,,
,120,Akanksha Gupta,23-Aug-20,4,3," Everything's good, I wish the Discover tab had more content, including non-curated blogs that aren't necessarily popular. It's usually days before it gets updated with new stuff and the pickings are slim.",,,,
,121,Adrian Selnekovic,19-Aug-20,5,5, Fairly simple and easy to use. Creating a post is as simple as it can get. Decent amount of themes. Customizing them is a little confusing. No plug-ins kinda stinks. Way more to like than not.,,,,
,122,Eklovey Verma,31-Jul-20,5,12, App is very good as per my need. Thanks WordPress team. Please add one more feature of changing the author for the articles in draft. It will be very useful for many of us. Looking forward for this feature. If it's available but I'm unaware about it then do let me know.,,,,
,123,KASHISH MEHTA,2-Sep-20,3,3, Well I think it should not be made mandatory to sign in for atleast liking a blog that will bring more people to read and like.......that's a kinda limitation as people find it difficult and time consuming to sign in first just for the purpose of reviewing the blog .,,,,
,124,sharon idowu,22-Sep-20,5,0," Easy to use Quality user interface Blogging at my fingertips Thank you, Wordpress😆",,,,
,125,K CA,28-Jul-20,5,3, Been loving my free blog experience. I've been writing for almost 2 years and I'm pleased with the traffic my blog gets and how everything that I have studied is at my fingertips and ready to be shared with other people.,,,,
,126,Tony Mukelabai,11-Aug-20,2,0," The app is ok, it was very handy at first but i dont what happened i've been failing to upload images, i cant even edit the app settings, i keep getting the api rest has been disabled notification...this been going on even after an update If that can be fixed then well and good and the app is proper",,,,
,127,Elika Farshid Mehr,3-Aug-20,5,2," Convenient tool to read blog updates. I like the smooth, functional and uncomplicated interface. Features I wish it had is the option to increase the font size and line spacing.",,,,
,128,Adam Tocci,17-Sep-20,5,0," Clean, easy format. Makes posting wherever you're at a breeze.",,,,
,129,Michael Ekoja,26-Sep-20,5,0," Wordpress is no doubt the number one in the world, with great and wonderful experience.",,,,
,130,ADITI KHOPADE,23-Jul-20,3,3, I have recently started using it. I liked it so far. But it would have been really great if the app could allow people to like the blogs as a guest or without an account just by an email or something.,,,,
,131,Rahabar Mustakim,13-Sep-20,2,0, I cannot post or see pages of my site even cannot upload images.,,,,
,132,Demetria Halley,2-Sep-20,5,1," Love this App. It allow me to communicate and respond to my followers. I can delete spam and it give me alerts when I have a comment on one of my blog post. Moreover, it allow me to respond to multiple sites that I manage.",,,,
,133,Sanjay Kumar,30-Sep-20,1,0, Unable to publish or save. Shows an error.,,,,
,134,Chiy Marlone,4-Sep-20,5,0," It's very helpful. I'm new to web creation, so still got a lot to learn. Still on free plan though but immediately i get a grasp on how things work, I'll upgrade to a paid plan. If someone can help me out with some corrections, I'll be most grateful.💪🏾💪",,,,
,135,Matt Kim,17-Aug-20,5,4, Excellent platform for both information gathering and disseminating. Very user friendly UI and page development ease of use is so easy a cave man can do it (no disrespect for our hairy knuckled ancestors),,,,
,136,Matt,8-Aug-20,2,1," The app is okay and it would out do the web editor if they added the ability for plugins to be used in the app. I have a bunch of extra things I use in the block editor, along with SEO plugins but they are useless when using this app. This would make the app much useful",,,,
,137,Avinash Vyas,12-Sep-20,1,0, This updated version crash again and again..old version was good,,,,
,138,trishikh dasgupta,2-Sep-20,5,3," An amazing am, being a fictional writer I need to be able to respond to the comments on my stories and this app helps me to do exactly that on the move. Love all the brilliant othe features as well. This app is very relatable to its website version.",,,,
,139,Vanshita,18-Jul-20,4,2, Its a really good app for showcasing one's talent. If you in any ways feel you have a skill or a talent but money is an issue then i'd say wordpress is the way to go.,,,,
,140,Elizabeth Livingston,16-Jul-20,1,4, I can't get anything done. It will not pull up any of my pages or posts. Deleting comments doesn't work because it cannot connect to Jetpack. This app has been out long enough that these problems should have been fixed long ago.,,,,
,141,Stephen Dickson,16-Sep-20,5,0, Awesome experience! But they could always do better 😁�,,,,
,142,Mas Ismail,20-Sep-20,2,0, Try to edit old post. However app keep on crash. Never ending,,,,
,143,Abi May,27-Aug-20,2,4," The version of my site on my Desktop isn't the same as on the App on my tablet. If I open certain pages to edit on the App, it reverts to an earlier page version. So I have to run to my PC to correct it. How do I solve this?",,,,
,144,Mike Brailer,13-Aug-20,3,2," App seems to take a long time to send and receive data from my self-hosted site. This includes getting lists of posts, saving posts and updating them.",,,,
,145,Nagesh H M,29-Jul-20,1,1, Its not a good app . We cannot ad adsense code in this app and we cannot download plugins which are free to .To use them one should give money..Totally its not a user friendly Until you give a update which allows us to add adsense code and download plugins .,,,,
,146,Prakash Pant,20-Aug-20,1,4," Failed miserably every time.Unable to upload pictures, media. 6 out of 10 post failed to publish. It's better to use Website than this utterly useless app. Advice : Don't waste your time on this app.",,,,
,147,ABU NAEM,30-Jul-20,5,1," Hey my dear mobile friendly blogger (I'm Happy) I didn't know before how to start a blog on WordPress, it was very excellent and optimise WordPress app for mobile friendly blogger, if you think to start a blog on mobile please go faster",,,,
,148,Magdalene Kamau-Otieno,16-Sep-20,5,0, The fastest way to find out if your articles are getting the attention they deserve. This app does it all.,,,,
,149,Ayesa Hamidah,28-Sep-20,2,0," Why is always crashed,i have to make the new one again for a few times",,,,
,150,Kuhu Saxena,8-Aug-20,1,1, it doesn't let me log into my website due to some xmlrpc issue... and at the same time i gave my id and password to a friend and she was able to login... if i cannot run the application in my phone what's the point of keeping this useless app... please fix it,,,,
,151,Jessica Bigney,21-Jul-20,2,3," Is there a glitch right now? It keeps telling me there is an error and can not upload any blog posts, download plugins, or really do anything. Am I the only one?",,,,
,152,Saba Siddiqui,5-Sep-20,5,0," Very good app for writers. Ever since I started writing, much improvement is seen in my english as said my readers,it's an outstanding blogging platform, a very good tool for beginners who wish to become writer.",,,,
,153,Lutfiya Rawat,19-Jul-20,5,1, Overall it's a good app for bloggers which I love but one thing is the drop down menu which you create does not show and you cannot edit it.... Overall it's a brilliant app...,,,,
,154,StepA1 Action,29-Aug-20,2,2, Always show 'Unfortunatly App Close' when I try to open 'Home Page' to edit. Also have not option to edit different colour in a word in a single text line/sentence. Blogspot is fine.,,,,
,155,Christopher Lovegrove,17-Aug-20,4,3," I've used WordPress since 2012, and the app for four or so years, and on the whole have been very pleased with it for the purposes I use it for: blogging, and photos.",,,,
,156,Killer luigi,19-Aug-20,5,9, I like wordpress just fine. Although it seems to lack in discoverability. I post rarely for time to time. But when i do. According to the site. My blogs activity in any and all forms is none existent.,,,,
,157,Praful Kapadia,8-Aug-20,4,5, Improved with addition of block editor. I'd like to be able to delete multiple photos from media library and also to have the option of adding tiled galleries to posts.,,,,
,158,James Murphy,31-Aug-20,5,3," There are very few errors, it is dependable and consistent. Although I prefer the old map colors to the new lavender. I also like the new copy feature.",,,,
,159,Alvin Murphy,9-Sep-20,5,0, Very nice app. I like how easy it is to edit from my phone. It is intuitive and logical. I would recommend it.,,,,
,160,Tracey Schmidt,21-Sep-20,2,0, Block editor is horrendous. Hate hate hate it on the desktop. App is marginally better but only while you can switch easily to classic editor.,,,,
,161,MATRINA FERNANDER,27-Jul-20,5,1," So far, it's been great. So if you want to start writing and not sure where to start, WordPress is excellent, easy setup. So just start....",,,,
,162,Tyler Reynecke,25-Aug-20,1,1, Installing a plugin failed (jetpack) I had to go manually delete the files for it off the server. Pages already on the site diddnt show up. I'm sad that this diddnt work I really love the idea,,,,
,163,Chau Ngo,26-Sep-20,1,0, I keep failing to upload my post on the app. And its frustrating.,,,,
,164,Kate Donaldson,31-Aug-20,4,0," Wordpress is easy to use, I like how it separates your paragraphs for you. A few less ads would be good but these are easily removed. Great app for journaling",,,,
,165,Kendrick chinecherem Okeke,13-Aug-20,3,3," The app was so so powerful and amazing ,untill I changed my mobile device and lost accessto my previous website ....despite logging in with my Gmail,the articles I published wasnt reflecting Any solution for this issue ?",,,,
,166,Hartland Ellis,6-Aug-20,4,0, Pretty good but doesn't seem to support all the style templates on the web version. I am using it mostly for blog updates though which it is pretty great at �,,,,
,167,Gabbie M McCarty,11-Sep-20,5,0, A super easy app to help you create your very own website!,,,,
,168,Nitesh Verma,23-Sep-20,5,0, The app makes it easy to manage notifications and respond to comments,,,,
,169,Chrys Totom,23-Sep-20,5,0," Very easy to use, lovely interface.",,,,
,170,Gerald Chiemeziem,9-Aug-20,5,1, I started blogging without any prior knowledge and it's so easy to navigate and understand. I also love it when they applaud my little consistence in the art of blogging.,,,,
,171,Salvatore Barrile,16-Jul-20,1,3," Installed and uninstall multiple times in the past year...same problem..it will not load the blog post ...it keeps loading..and loading...and loading... spinning icon and nothing else , shame�",,,,
,172,Suresh Poojary,26-Sep-20,5,0, Very good app. With this app I started my first blog. And it is easy to use,,,,
,173,Joshua Mur,6-Aug-20,1,1," My web page is no longer available, nothing is loading as if it was just frozen ! In the app when am trying to view the status the message ""Data not loaded"" is displaying, what is wrong please?",,,,
,174,Ankita Sharma,23-Aug-20,5,0," Installing this app is really worth it. I am a student and was searching for some internship but they wanted so much work for really very less money.I came through this app and now I wanna write articles.May be I will get some benefit here.lso,here I feel very amazing being the administrator of my s...Full ReviewInstalling this app is really worth it. I am a student and was searching for some internship but they wanted so much work for really very less money.I came through this app and now I wanna write articles.May be I will get some benefit here.lso,here I feel very amazing being the administrator of my site.",,,,
,175,Marco and Eunice,31-Aug-20,1,0, The new block editor sucks!!!! I hope you do something about it or at least make it optional. It makes blogging so much harder and complicated.,,,,
,176,Joanita Amegashie,8-Sep-20,5,0, Wonderful app. I really love it. You can manage so many blogs at a time,,,,
,177,Stephen AB,26-Sep-20,2,0, I started using the app yesterday and today i posted my first article but the stats tells me my page had 190 views whiles the post had only 9 views but the post is the only thing on the main page too so im kinda confused,,,,
,178,Sally Punzalan,28-Sep-20,5,0, User-friendly blogging platforms for beginners.,,,,
,179,Anne Borgmeyer,11-Aug-20,5,0," Very functional, easy to use app. I'm writing blogs straight from my phone instead of uploading pics here and writing on the computer because the app is so easy!",,,,
,180,Doa Mac,17-Jul-20,5,1, I'm liking the streamlined way I can make my posts on the fly. Even when I'm not by my laptop. It's makes things easier.,,,,
,181,Linda G,29-Sep-20,5,0, Seems to be a really good app. It's smarter than I am. They have a community of people to help if you have questions.,,,,
,182,Prem Rian Mart,7-Aug-20,1,0," The WordPress Sites are Very Annoying,If we don't pay Premium it's Useless,They treat normal Bloggers as Slaves,Without Premium they Don't allow us to Add third Party ads,they don't allow the Code to Paste Properly and they Put their own ads on our Site,but Never Pay Money for their ads and For putt...Full ReviewThe WordPress Sites are Very Annoying,If we don't pay Premium it's Useless,They treat normal Bloggers as Slaves,Without Premium they Don't allow us to Add third Party ads,they don't allow the Code to Paste Properly and they Put their own ads on our Site,but Never Pay Money for their ads and For putting the Site in Google Search it's very Difficult than Paid Membership.I am an Begininer ,I am waiting for ads to get money and pay for membership,but it's too Rude.",,,,
,183,Denver Simon,25-Aug-20,5,2, Just one glitch I've been experiencing. My posts automatically publish twice or thrice. I had to trash the extra to avoid redundancy.,,,,
,184,Brett Charap,12-Sep-20,5,0," Great, free tool for self expression. Easy to use, yet very powerful. I love it.",,,,
,185,Rotimi Akinola,23-Sep-20,5,0, Great app. Wish I could give your guys a million 5 stars. Keep up the good work.,,,,
,186,Lakshika Bains,1-Sep-20,5,0, I love Wordpress it's amazing the features the way it helps me to get away with thank you very much for this application I really love being a part of this platform�,,,,
,187,Graham Cookson,31-Aug-20,4,0, Really easy to use and reliable. Makes it easy to post at anytime. Made my life easier not having to be at the pc.,,,,
,188,Lama J,22-Aug-20,5,2, The WordPress app is great for mobile (on the move) blogging. Much easier to use on the phone than the browsers.,,,,
,189,Neha Khushboo,8-Sep-20,3,0, It's good but I am not able to share my blog on facebook. Please get and resolve the issue.,,,,
,190,Gary Chomiak,27-Sep-20,5,0, I needed an easy to use website for my daily blogs. WordPress fit the bill.,,,,
,191,Learn with Adarsh Shukla,23-Jul-20,4,2, A nice app when it comes to blogging. A good platform to opine about anything. I've been putting my thoughts on it.,,,,
,192,Avi Pratap Singh,26-Aug-20,4,2," Easy to use, and corrects what you forget. A little easier way to allow editing would be appreciated.",,,,
,193,Beah Sharp,29-Aug-20,1,0," It just took $57 dollars out from my account, I can't even remember subscribing or anything . I tried signing in with all my different emails I can't even sign in.",,,,
,194,Ezegbunam Chinonso Benjamin,27-Jul-20,1,3, After this recent update I can't load my posts again or even publish new ones using the app. I have try disabling all my pluggings and theme all to no avail.,,,,
,195,Mark Dumanon,12-Sep-20,3,0," UI-friendly app, but not all blocks are supported.",,,,
,196,Eska Ayu,2-Aug-20,5,1, I've been used for several years. This app has good improvement last days. Easier to use especially if you want to check the stat of your posts. Love it.,,,,
,197,Anustup Bhattacharyya,7-Sep-20,4,1," Excellent app but the free version must allow options for more modification and personalization, especially more fonts for instance",,,,
,198,#:1( 'D:1"&(,31-Jul-20,2,0," Not very good limited features need more features like laptop you can only make simple blog in this app , we need app that make us not need to open laptop every day to make simple changes",,,,
,199,Anthony Phiri,9-Sep-20,5,0," A great app and very cool. But, improve on editing themes. Overral u deserve a five star �",,,,
,200,Dan Dippi,28-Aug-20,4,1," I wish to have discovered this before now, all the same, awesome app for the beginner of social media, networking and others.",,,,
,201,Song W Eretson,9-Sep-20,5,0, I was surprised by how easy it is to use. But even writing. Post in the app is quite easy.,,,,
,202,Stephanie Marquez Ramirez,11-Sep-20,5,0, Inwould like to be able to take notes on this app. And not let it be updated If. Not ready . Only thing. N maybe a tutor ? Scroll ? That's all Thank you other than that Thank you,,,,
,203,Patricia Gibbons,16-Aug-20,5,0," It's a great app: easy to use for writing on the go, or reading other people's posts. Keep creating:)",,,,
,204,Aowapress24 TV,6-Sep-20,5,0, The current app is not loading images. Any article with inage doesn't upload. Very disappointing indeed,,,,
,205,Julia Julia,1-Aug-20,1,0, Why can't I upload any posts or blogs? I have tried it multiple times and it cannot even save it.,,,,
,206,Andrew Beebe,3-Oct-20,4,0, Works just like the desktop version. Good app for travel.,,,,
,207,Francis Anthony,30-Jul-20,4,1," It is quite easy to create Blog posts. Tools provided are quite adequate if priority is blog content, rather than bells and whistles.",,,,
,208,Aviator 61,31-Jul-20,5,0, Easy to use on the go. WordPress is great and this app gives you the power to interact even when on the move. Thanks.,,,,
,209,Desi Ellis,14-Aug-20,5,0, It's one of the very best platforms a writer can create expression and bring them to life.,,,,
,210,Codie Desirae Transue,24-Aug-20,5,1, I found this to be one of the easiest website apps to use. I love it so much! Simple and affordable!,,,,
,211,Esty's Bay,23-Jul-20,5,3, I love the app! It's easy to navigate through it and publish my blog posts.,,,,
,212,gaia mouse,3-Sep-20,5,0, I have used WordPress for about 6 years. It is easy to use and provides lots of tech support.,,,,
,213,Ayushi Maheshwari,28-Sep-20,1,0, The app is really slow and full of bugs.,,,,
,214,Clyde Goodenough,17-Sep-20,5,0, Brilliant. So easy to access and use.,,,,
,215,Memory Tongogara,13-Aug-20,5,2, Great App even for one starting to blog. It takes you through everything you need to get a hang of it.,,,,
,216,Valerie Bulley,19-Aug-20,1,0," The app doesn't open up, wanted to start my own blog but it takes sooooo long to even open up....",,,,
,217,Mike Njenga,15-Aug-20,5,1," Updating my blog on the go is cool 🙂 The app is seamless, with lots of customisation options for your sit",,,,
,218,Prasad Subramanian,5-Aug-20,2,0, Very poor app design. Texts automatically get deleted while typing. Very slow as well.,,,,
,219,Olugbenga Oyeniran,2-Aug-20,5,0, WordPress is great for my publishing needs. It's perfect.,,,,
,220,Ken Donner,23-Aug-20,5,0," I sometimes feel guilty for taking WordPress for granted, but it's just so damned good, and dependable.",,,,
,221,okoyeocha uchenna,26-Jul-20,3,1," I am quite lost... I have a domain name already. Isn't it possible to use that on your website builder. I don't like the name suggestions it gives me. The statement ""must be a WordPress site"". Does it mean I has to include WordPress in it or I have to purchase my own domain name from WordPress",,,,
,222,Cheryl El-Elohim,31-Jul-20,4,0," Great job but no SEO analysis option to work with new posts. Also no justify options for paragraphs. Otherwise, good app",,,,
,223,Anjali Khanal,5-Aug-20,5,1, Have been using this for some time now. This app is very useful and an exact version of what we use in browser in computers. Love it!,,,,
,224,Jzahn Isayas,17-Aug-20,5,0, I haven't used the app that long but I can say that it's great! I like the dark mode and I'm looking forward to future updates!,,,,
,225,Bosom FALADE,13-Aug-20,5,1, So convenient and easy. Normally I don't rate but the convenience they provided me with was sublime,,,,
,226,B R,31-Aug-20,4,0, Mostly great. Convenient and comprehensive. Occasionally it doesn't work.,,,,
,227,Tehila Chirambo,1-Oct-20,4,0, The app has made it soo much easier to manage a site. I would definitely recommend.,,,,
,228,Clydia Singletary,26-Aug-20,5,0, Great site and not too difficult to understand for beginners.,,,,
,229,Osuagwu Leonard,25-Aug-20,4,0," Very good,buy more work need to be done in spacing of words and application of paragraphs",,,,
,230,Creative Coordinator - Adrianne,11-Aug-20,4,0, I love having wordpress at my fingertips but I can't reply to comments on the app! Please fix this,,,,
,231,AdyaSree Nambiar,26-Jul-20,4,1, Best app ever ig.... It's really good except it slows down for no apparent reasons sometimes. But otherwise an excellent app,,,,
,232,Sundar Kadayam,22-Aug-20,5,1, Easy to use. Functionality rapidly evolving. Quite useful as it is.,,,,
,233,happy padangtengku,6-Sep-20,5,0, Blog Update function should include auto insert word ' update on date _ time' into the blog title,,,,
,234,Jivraj Asariya,9-Aug-20,4,0, Perfect Medium for Changing environment. Tools to manage is also provide exposure control.,,,,
,235,David Tran,21-Jul-20,4,1," Overall positive, robust, and is continuously improving.",,,,
,236,Cuthlu Deamon,23-Aug-20,5,0, Awesome! And over the last 5 years of using Wordpress the UI has become more user friendly... ThanKs Van!,,,,
,237,Sunly Voeung,28-Aug-20,5,0, Wordpress is easy to make and faster to showing on google search it is to importent for the builder. I appreciated,,,,
,238,Hilda,5-Aug-20,4,0, I think it needs the block editor edits to be added and then it will be perfect.,,,,
,239,Private Analyst,28-Sep-20,1,1," I am writing this review to tell discontent users that I left this site for Google Blogger, straight forward interface, settings in app more on site, nice backgrounds and easy view of your blog from visiting outside your page. No indescreet viewers, try it.",,,,
,240,Iverin Iyolga,1-Oct-20,3,0, It's been amazing using this app guys😍 It's just sad that it cost much to personalise a domain for yourse,,,,
,241,Jennifer Cickavage,26-Jul-20,5,1, Really enjoying using WordPress to get the old thoughts out of the old head.,,,,
,242,Vinayak SATUPALLI,21-Jul-20,3,1, Great app but I am having doubt how to add Google adsense in website If you will clear my doubt I WILL BE ABLE TO GIVE 5STAR RATING.,,,,
,243,John Graham,29-Aug-20,5,1, Fantastic application where I am able to make blog posts easily from my phone!,,,,
,244,Teresa Morris,17-Aug-20,4,0," Super way to blog, has everything a beginner to experience person needs",,,,
,245,Beas RC,28-Jul-20,4,1," It is a good experience. The app is very helpful, providing complete guidance.",,,,
,246,Frederick Danoe,18-Sep-20,4,0," I have installed this app, but i can't see my stats. It requires me to install jetpack, but this one can't help me to resolve my problem. What should i do?",,,,
,247,The Rambage,6-Sep-20,5,0, it's amazing. really i would like to say that wordpress is provided good service,,,,
,248,Bryanjoseph munjo,17-Aug-20,3,0," The app is great, but I added some pages on my site of which they don't show yet",,,,
,249,Nancy Kuria,13-Aug-20,5,0," I have been using wordpress for some time now, it doesn't disappoint. I love it.",,,,
,250,Chad O'Neil,1-Sep-20,4,0," Works well for creating content, but doesn't always publish scheduled content as expected.",,,,
,251,Tahmina Mili,26-Aug-20,5,0, My job is going to be useful for the website building! Being a writer is always an art if being with myself. WordPress is going to be help me to be one of my own imagination one day. That's the plan behind using this app.,,,,
,252,Raj Bañare,10-Aug-20,2,0, Changing site icon takes too long to upload then errors at the end.,,,,
,253,Vinny Prest,17-Sep-20,5,0, Very simple to use for a dinosaur like me!,,,,
,254,Rhiannon D'Averc,12-Aug-20,5,0, Really easy to use - much recommended Vs trying to edit on mobile web page.,,,,
,255,Paul Koshy,26-Sep-20,5,0, I find WordPress easy to use.,,,,
,256,Akon E. Akangson,16-Sep-20,5,0," WordPress:. I must say that this App is very educative and engaging. Well done. ,👍👍👍👍👍👍👍👍👍",,,,
,257,AMARACHI UDUMA,14-Sep-20,5,0, I love this app. It simplifies blogging for me.,,,,
,258,Africa To Chembe,31-Jul-20,4,0," I'd have given it 5 stars if the notifications didn't come so late. Otherwise, it's a great app",,,,
,259,mahalakshmi nagarajan,2-Aug-20,5,0, It's a great platform for blogging and its home to all quality stuff 🙂,,,,
,260,Aakifah Mahomed,17-Aug-20,1,0, The block editor is annoying and I dislike that the classic editor has been removed,,,,
,261,Antony Mario,29-Sep-20,5,0, This is very good app and it's very useful to everyone.,,,,
,262,Health & Solutions,30-Jul-20,5,0, Wordpress is simply a great app. Dig in and see for yourself.,,,,
,263,OJ,16-Aug-20,1,0, Too complicated. Have numerous functions which is not user-friendly,,,,
,264,stanley ifeji,1-Sep-20,5,0," WordPress is amazing, helping the young entrepreneurs with their free plan with a lot of features. Thanks to WordPress team for the support.",,,,
,265,DJ ADI OFFICIAL,20-Aug-20,4,0, Its a great app for beginners who wants to wet there feet into the blogging world.,,,,
,266,Desiree Haros,27-Jul-20,5,1, Great for sharing ideas. Easy platform to use.,,,,
,267,TJ Burr,6-Aug-20,5,0, WordPress is awesome! Simple and professional looking.,,,,
,268,Ashu Cr,2-Aug-20,5,0, It's an amazing platform to flourish.. No other words to describe this app...,,,,
,269,Ihenachor Valerie,24-Jul-20,1,1, I have been publishing but it doesn't reflect I keep drafts it doesn't show,,,,
,270,Muskan Bansal,7-Sep-20,3,0, There is heavy load on site ....works slowly on Android.,,,,
,271,MAYANK SHARMA,24-Jul-20,3,1, Good for experience for begginer but drawback is even after buying premium package we cannot monitize the blog we have to buy business plan frist which is not cheap for everyone.,,,,
,272,Godwin Nii Armah Tagoe,2-Aug-20,5,0," Great great app.....makes writing, and publishing lots easier",,,,
,273,yamuna. shah,27-Aug-20,3,0, facing error while saving post & which is making my work difficult as i have to write it again please do solve these error as soon as possible & make this app more user friendly,,,,
,274,Mido Moses,24-Jul-20,5,1, WordPress is the number 1 site for beginners . I learnt every skill here on my own . I recommend WordPress for everyone that wants to stand out from the crowd . Keep up the good work . My website is now ready .,,,,
,275,Da Ga,19-Aug-20,5,0," Just started using about 2 weeks ago. Easy to use, good features. Still learning.",,,,
,276,Abayomi Animashaun,29-Jul-20,5,1, It's been useful. But needs to make more features accessible,,,,
,277,CRE8SOFT,18-Jul-20,5,1, The Greatest website 👌 Builder 🙅.... Highly Responsive it's good for both Expert and Beginers Web Designer/Blog,,,,
,278,Debajyoti Soumya,12-Aug-20,1,0," Draft is not Saving , even I can't change my dp Please stop this issue . And I will give you 5 star rating.",,,,
,279,Arun G,22-Aug-20,4,0," If I edit my post with smiley, it cannot update those posts. If I remove smileys, it works.",,,,
,280,Cindy yeo gc,4-Sep-20,4,0, WordPress is now more user- friendly than a year ago.,,,,
,281,K C,22-Jul-20,5,1, Word press has been great I like it easy to use and fun,,,,
,282,Vikas Marwaha,3-Aug-20,5,0, Very convenient app... simple to use Must have app for word press users .,,,,
,283,Thembisa Khobeni,4-Sep-20,3,0, Love this app.... Easy to use..... Would be happy if the app can work with Google so that what we post this app can auppear on Google as well,,,,
,284,Seth MacKenzie,14-Sep-20,2,0, Still unable to login to my site,,,,
,285,Kids Special,31-Jul-20,1,0, Waste app. Hangs everytime whenever my team opens it in their smartphone.,,,,
,286,Jennifer Boyd,16-Sep-20,5,0, My right hand man. User friendly. Great support network.,,,,
,287,Unispirical Muse,2-Aug-20,5,0, I have been using WordPress for over 10 years. I enjoy the service.,,,,
,288,Eric Henthorne,5-Aug-20,2,0, I uploaded 5 images and then it will not allow me to upload more.,,,,
,289,Derick Media- inspirePreneur,10-Sep-20,5,0," It's been awesome 😁, only a few discomfort but an amazing a",,,,
