App,ID,Author,Date,Rating,Helpful Count,Review,,,,
,14,Emma Louise,18-Sep-20,2,1," When typing a post every so often, as in multiple times per post, it sort of freezes. I can't open a new box to type in. Since for some reason they decided each chapter should be a new box. I can't leave the post and jump back in or whatever I just typed gets deleted. It's annoying.",,,,
,15,Brooke Warra,22-Sep-20,1,21," Pretty Bad. Every 2 sentences I have to save, back out, reopen and continue, repeat. If you try to bold or italicize words there is a terrible delay and half the time it deletes whatever you've written instead of italicizing it. If you hit save it takes forever or doesn't respond, then forces you ou...Full ReviewPretty Bad. Every 2 sentences I have to save, back out, reopen and continue, repeat. If you try to bold or italicize words there is a terrible delay and half the time it deletes whatever you've written instead of italicizing it. If you hit save it takes forever or doesn't respond, then forces you out and most of the time when you come back it only saved about half of what you wrote! Haha It's honestly a literal nightmare for writers. Thanks, I hate it.",,,,
,16,Idowu Olajumoke,22-Sep-20,1,1, I have been spending time working on my blog but the pictures keep getting mixed up I'm so angry right now because loading the pictures take a lot of time and still end up getting mixed up I was advising a friend to start blogging and she is probably going to ask me to recommend an app for her with ...Full ReviewI have been spending time working on my blog but the pictures keep getting mixed up I'm so angry right now because loading the pictures take a lot of time and still end up getting mixed up I was advising a friend to start blogging and she is probably going to ask me to recommend an app for her with whats going on will I be happy to recommend wordpress!!,,,,
,17,Jasmine JasNotes,11-Sep-20,3,11," Grateful for this app and love how I can load media from phone direct to gallery. (pls allow access to the WP image gallery from the desktop version). Also Widget on stats is great. -Wish writing functionality was better. And on few occasions the App version threw off main version from Laptop. I had...Full ReviewGrateful for this app and love how I can load media from phone direct to gallery. (pls allow access to the WP image gallery from the desktop version). Also Widget on stats is great. -Wish writing functionality was better. And on few occasions the App version threw off main version from Laptop. I had to rebuild post for hour. (even now I see ""version conflict"" pls make way to disable). -Also ability to change appearance, widgets eg text, etc., would be great. Then a 4+5stars! Thanks WP Team.",,,,
,18,Laura Bailey,19-Sep-20,3,16," Don't get me wrong. I love WP and I love the community here. A lowered rating was given solely due to the recent ""upgrade"" to block editor. Although you are supposed to be able to continue using classic...it's simply not working out well. A theory that has proven to hold true is ""If it ain't broke, ...Full ReviewDon't get me wrong. I love WP and I love the community here. A lowered rating was given solely due to the recent ""upgrade"" to block editor. Although you are supposed to be able to continue using classic...it's simply not working out well. A theory that has proven to hold true is ""If it ain't broke, don't fix it!"" It used to be so easy literally anyone could use it. It's now difficult and nothing seems to work right. And no one seems pleased. Please fix what's now broken",,,,
,19,JIM Entertainment,18-Sep-20,2,1," Unsure if this even works! I am unable to even fetch my published posts to begin with. I am giving two stars because I love wordpress and feel generous. However, the App isn't working on my OnePlus7 Pro (12 GB RAM, 256 GB). Once this apps starts working, I will update my rating scores.",,,,
,20,Lyndsie Lawry,22-Sep-20,5,0, WordPress is THE BEST site for all your Blog needs!! Easy to Use & Honestly the best blog site out there. It's free and the free member perks are actually reasonable and awesome! I was able to design my website thru (desktop site option for chrome) browser on my phone which was cool!! So many sites ...Full ReviewWordPress is THE BEST site for all your Blog needs!! Easy to Use & Honestly the best blog site out there. It's free and the free member perks are actually reasonable and awesome! I was able to design my website thru (desktop site option for chrome) browser on my phone which was cool!! So many sites these days make it very hard to design and their free membership is quite narrow-minded and borderline scammy. WordPress App makes it so you can post all and have the best blog website out there!!!,,,,
,21,Marika Laurice Walker,25-Sep-20,4,0, I am having problems when I hit enter from my phone it going to new block and not just new paragraph in same block. I agree with other users that needs a way to be fixed! I even tried putting it in CAPLOC + ENTER and nothing! Please help the desperate writers using this platform!! Update: thanks for...Full ReviewI am having problems when I hit enter from my phone it going to new block and not just new paragraph in same block. I agree with other users that needs a way to be fixed! I even tried putting it in CAPLOC + ENTER and nothing! Please help the desperate writers using this platform!! Update: thanks for reply! I will try this & update again!�,,,,
,22,Katherine Cabasan,15-Sep-20,1,6," Constantly freezes especially when editing long texts. Cursor jumps, frequently stops responding when I try to insert links in words, scrolls unprompted. Would appreciate being able to format headings and other lines into bigger font like on desktop. On Wordpress itself, as one of several editors, I...Full ReviewConstantly freezes especially when editing long texts. Cursor jumps, frequently stops responding when I try to insert links in words, scrolls unprompted. Would appreciate being able to format headings and other lines into bigger font like on desktop. On Wordpress itself, as one of several editors, I would appreciate having the ability to delete articles and media in the Gallery that clogs up the site.",,,,
,23,Michelle Perrish,26-Sep-20,1,10, Been using the app for a while now but for the past like two months or so it constantly crashes& freezes they took away the classic mode for Android which is retarded because that's the only mode that really would let me type with no problems. HTML mode and visual mode constantly freeze I had to go ...Full ReviewBeen using the app for a while now but for the past like two months or so it constantly crashes& freezes they took away the classic mode for Android which is retarded because that's the only mode that really would let me type with no problems. HTML mode and visual mode constantly freeze I had to go in&out of the app for my post I'm working on to even load to edit it more than half the time I can't even edit that's why it's been taking me an entire month just to do one blog that I cannot finish.,,,,
,24,Abhijith AK,25-Sep-20,2,2, I have no idea what is going on but the lag is absolutely unbearable. Everything I do takes 5 minutes to catch up with what im doing. Rewriting lines over and over again and the options take forever to register. The post takes painfully longer time to load. I see im not the only one here. Please fix...Full ReviewI have no idea what is going on but the lag is absolutely unbearable. Everything I do takes 5 minutes to catch up with what im doing. Rewriting lines over and over again and the options take forever to register. The post takes painfully longer time to load. I see im not the only one here. Please fix it ASAP.,,,,
,25,Olusola Damilare,14-Sep-20,3,1," The app is great alright, but maybe it's due to low memory on my phone but the rate it crashes these days gives me concerns. Also, I'll like if notifications (using third-party plugins) can be sent to subscribers via the app, that would be really great.",,,,
,26,Bri Ribalta,21-Sep-20,3,2," The app was alright that but recently it's been freezing, the text moves to the next line but I can't see what I'm writing because the block doesn't expand & the cursor is by one letter but my changes occur next to another letter. I've uninstalled the app and the problem continues.",,,,
,27,Hekate Jane,27-Sep-20,1,0," I have used WordPress for over 3 years. This latest update has ruined it. It's trying to force me to choose topics to spam my reader, and won't let me use my reader until I do so. Formatting is impossible, the freezing,nthe crashing, the app is now unusable.",,,,
,28,GL Png,1-Oct-20,1,0," Wordpress is no more what it used to be - best blog platform that I have used. Now it's deteriorated in form and performance. And it's no longer free? Perhaps, the money factor has overwhelmed their creator's mind. Perhaps, he or they are now different people? Anyway, it was fun for a short while. B...Full ReviewWordpress is no more what it used to be - best blog platform that I have used. Now it's deteriorated in form and performance. And it's no longer free? Perhaps, the money factor has overwhelmed their creator's mind. Perhaps, he or they are now different people? Anyway, it was fun for a short while. Bye bye.",,,,
,29,Susan Henry,29-Sep-20,4,0," I started a blog on WordPress in May. I always had to go online to see my new followers, likes, etc. This app makes it much easier to navigate your website easily, and I also get notifications when I get a new like or comment",,,,
